symptom,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
blindness,surgery|anti_vegf|corticosteroid,cataract surgery|ranibizumab,prednisolone eye drops|laser therapy,delay_in_emergency_care,urgent ophthalmology referral,who|nice,severe
eye burns or stings,lubricants|antibiotics,artificial tears|chloramphenicol eye drops,ciprofloxacin eye drops|irrigation,rubbing_eyes,evaluate chemical or infection cause,who|nice,moderate
itchy eyelid,antihistamine|topical_corticosteroids,loratadine|hydrocortisone cream,cetirizine|ketotifen eye drops,allergen_exposure,often dermatitis,who|nice,mild
feeling cold,warming_measures|thyroid_evaluation,thyroid hormone replacement|supportive care,iron supplements|diagnostic evaluation,untreated_hypothyroidism,evaluate endocrine cause,who|nice,mild_moderate
decreased appetite,nutritional_support|appetite_stimulants,dietary counseling|megestrol,cyproheptadine|enteral feeding,untreated_depression,evaluate systemic cause,who|nice,moderate
excessive appetite,dietary_counseling|behavioral_therapy|metformin,calorie control|exercise,orlistat|psychotherapy,uncontrolled_diabetes,evaluate endocrine cause,who|nice,moderate
excessive anger,psychotherapy|mood_stabilizers|ssri,cognitive behavioral therapy|sertraline,valproate|lithium,alcohol|stimulant,evaluate mood disorder,dsm5|nice,moderate
loss of sensation,treat_underlying_cause|corticosteroid|vitamin_supplementation,vitamin b complex|prednisolone,physical therapy|diagnostic evaluation,delay_in_neurological_assessment,evaluate neuropathy,who|nice,severe
focal weakness,stroke_management|antiplatelet|rehabilitation,aspirin|rehabilitation,thrombolysis|physical therapy,delay_in_emergency_care,possible stroke,aha|who,severe
slurring words,stroke_management|speech_therapy,aspirin|rehabilitation,thrombolysis|speech therapy,delay_in_emergency_care,possible neurological emergency,aha|who,severe
symptoms of the face,analgesics|corticosteroid|antibiotics,paracetamol|prednisolone,amoxicillin|ibuprofen,evaluate_neurological_cause,assess facial nerve disorder,who|nice,moderate
disturbance of memory,cognitive_therapy|acetylcholinesterase_inhibitors,donepezil|cognitive training,memantine|vitamin supplementation,untreated_dementia,evaluate neurological cause,who|nice,moderate_severe
paresthesia,vitamin_supplementation|treat_underlying_cause|corticosteroid,vitamin b complex|prednisolone,gabapentin|physical therapy,untreated_neuropathy,evaluate neurological disorder,who|nice,moderate
side pain,analgesics|antibiotics_if_infection|imaging,paracetamol|ibuprofen,ciprofloxacin|ultrasound,delay_in_evaluation,evaluate renal or musculoskeletal cause,who|nice,moderate
fever,antipyretics|antibiotics_if_bacterial,paracetamol|ibuprofen,amoxicillin|ceftriaxone,untreated_severe_infection,evaluate infection source,who|nice,moderate_severe
shoulder pain,nsaid|analgesics|physical_therapy,ibuprofen|paracetamol,naproxen|prednisolone,overuse|untreated_injury,evaluate rotator cuff disorder,nice|who,mild_moderate
shoulder stiffness or tightness,nsaid|physical_therapy|corticosteroid,ibuprofen|prednisolone,naproxen|methotrexate,long_term_opioid_use,evaluate frozen shoulder,nice|who,moderate
shoulder weakness,physical_therapy|nsaid|corticosteroid,rehabilitation|ibuprofen,prednisolone|naproxen,untreated_tear,evaluate structural damage,nice|who,moderate
arm cramps or spasms,muscle_relaxants|electrolyte_replacement,baclofen|oral rehydration solution,diazepam short term|magnesium,untreated_electrolyte_imbalance,evaluate dehydration or nerve cause,who|nice,moderate
shoulder swelling,nsaid|corticosteroid|rest,ibuprofen|prednisolone,naproxen|aspiration,delay_in_evaluation,evaluate bursitis or infection,who|nice,moderate
tongue lesions,topical_corticosteroids|antifungals,triamcinolone paste|clotrimazole,fluconazole|chlorhexidine,smoking|irritants,evaluate infection or malignancy,who|nice,moderate
leg cramps or spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|oral rehydration solution,dehydration,evaluate electrolyte imbalance,who|nice,mild_moderate
abnormal appearing tongue,antifungals|vitamin_supplementation,clotrimazole|vitamin b complex,fluconazole|iron supplements,smoking,evaluate anemia or infection,who|nice,moderate
ache all over,analgesics|rest|hydration,paracetamol|ibuprofen,naproxen|evaluation,untreated_infection,evaluate viral illness,who|nice,mild_moderate
lower body pain,nsaid|analgesics|physical_therapy,ibuprofen|paracetamol,naproxen|baclofen,long_term_opioid_use,evaluate musculoskeletal cause,nice|who,moderate
problems during pregnancy,obstetric_care|supplementation,prenatal vitamins|iron supplements,antihypertensives|insulin,delay_in_obstetric_evaluation,regular antenatal monitoring,who|nice,moderate_severe
spotting or bleeding during pregnancy,obstetric_evaluation|progesterone_therapy,progesterone|ultrasound monitoring,surgical management|hospital admission,delay_in_emergency_care,evaluate miscarriage risk,who|nice,severe
cramps and spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|hydration,dehydration,evaluate metabolic cause,who|nice,mild_moderate
upper abdominal pain,ppi|analgesics|antibiotics_if_infection,omeprazole|paracetamol,metronidazole|ciprofloxacin,delay_in_evaluation,evaluate ulcer or gallbladder cause,who|nice,moderate_severe
stomach bloating,antiflatulents|prokinetics,simethicone|domperidone,hyoscine|dietary modification,carbonated_drinks,dietary adjustment recommended,mayo_clinic|nice,mild
changes in stool appearance,diagnostic_evaluation|dietary_modification,fiber supplementation|colonoscopy,iron supplements|hydration,delay_in_colon_evaluation,evaluate gastrointestinal disease,who|nice,moderate
unusual color or odor to urine,antibiotics|hydration,nitrofurantoin|oral fluids,trimethoprim|ciprofloxacin,delay_in_uti_treatment,evaluate infection,who|nice,moderate
kidney mass,imaging|surgical_evaluation,ct scan|biopsy,nephrectomy|oncology referral,delay_in_evaluation,evaluate malignancy,who|nice,severe
swollen abdomen,diuretics|paracentesis|salt_restriction,furosemide|spironolactone,paracentesis|albumin,untreated_liver_disease,evaluate ascites cause,who|nice,severe
symptoms of prostate,alpha_blocker|5_alpha_reductase_inhibitors,tamsulosin|finasteride,dutasteride|surgery,untreated_obstruction,evaluate benign prostatic hyperplasia,nice|who,moderate
leg stiffness or tightness,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,naproxen|diazepam short term,long_term_opioid_use,evaluate neurological cause,nice|who,moderate
difficulty breathing,bronchodilator|corticosteroid|oxygen_therapy,salbutamol inhaler|oxygen,ipratropium|prednisolone,delay_in_emergency_care,evaluate asthma or cardiac cause,gina|who,severe
rib pain,nsaid|analgesics|rest,ibuprofen|paracetamol,naproxen|evaluation,untreated_fracture,evaluate trauma,who|nice,moderate
joint pain,nsaid|analgesics|disease_modifying_agents,ibuprofen|paracetamol,methotrexate|prednisolone,long_term_opioid_use,evaluate arthritis,nice|who,moderate
muscle stiffness or tightness,nsaid|muscle_relaxants|physical_therapy,ibuprofen|baclofen,diazepam short term|naproxen,long_term_opioid_use,evaluate neuromuscular cause,nice|who,moderate
pallor,iron_supplementation|treat_underlying_cause,iron supplements|vitamin b12,blood transfusion|diagnostic evaluation,untreated_anemia,evaluate hematologic disorder,who|nice,moderate_severe
hand or finger lump or mass,imaging|surgical_evaluation,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate cyst or tumor,who|nice,moderate_severe
chills,antipyretics|antibiotics_if_infection,paracetamol|ibuprofen,amoxicillin|ceftriaxone,untreated_sepsis,evaluate infection source,who|nice,moderate
groin pain,nsaid|analgesics|antibiotics_if_infection,ibuprofen|paracetamol,doxycycline|naproxen,delay_in_evaluation,evaluate hernia or infection,who|nice,moderate
fatigue,nutritional_support|treat_underlying_cause,iron supplements|vitamin supplementation,antidepressants|diagnostic evaluation,untreated_anemia,evaluate systemic cause,who|nice,mild_moderate
abdominal distention,antiflatulents|diuretics|diagnostic_evaluation,simethicone|furosemide,spironolactone|paracentesis,untreated_liver_disease,evaluate ascites or obstruction,who|nice,moderate_severe
regurgitation.1,ppi|feeding_modification,omeprazole|dietary adjustment,ranitidine|domperidone,overeating|lying_flat_after_meals,often reflux related,who|nice,mild_moderate
symptoms of the kidneys,antibiotics|hydration|imaging,nitrofurantoin|oral fluids,ciprofloxacin|ct scan,delay_in_evaluation,evaluate renal infection or stones,who|nice,moderate_severe
melena,ppi|endoscopic_therapy,omeprazole iv|endoscopy,tranexamic acid|surgery,delay_in_emergency_care,upper gastrointestinal bleeding,who|nice,severe
flushing,beta_blocker|hormonal_therapy,propranolol|hormone therapy,clonidine|diagnostic evaluation,untreated_endocrine_disorder,evaluate hormonal cause,who|nice,mild_moderate
coughing up sputum,antibiotics|bronchodilator|corticosteroid,amoxicillin|salbutamol,azithromycin|prednisolone,smoking,evaluate respiratory infection,who|gold,moderate
seizures,antiepileptics|emergency_management,levetiracetam|diazepam,phenytoin|valproate,delay_in_emergency_care,neurological emergency,who|nice,severe
delusions or hallucinations,antipsychotic|psychotherapy,risperidone|olanzapine,quetiapine|clozapine,alcohol|stimulant,evaluate psychotic disorder,apa|dsm5,severe
shoulder cramps or spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|hydration,dehydration,evaluate metabolic cause,who|nice,moderate
joint stiffness or tightness,nsaid|physical_therapy|corticosteroid,ibuprofen|prednisolone,naproxen|methotrexate,long_term_opioid_use,evaluate arthritis,nice|who,moderate
pain or soreness of breast,analgesics|antibiotics_if_infection,paracetamol|amoxicillin,ibuprofen|surgical evaluation,delay_in_evaluation,evaluate mastitis or cyst,who|nice,moderate
excessive urination at night,alpha_blocker|desmopressin|behavioral_therapy,tamsulosin|desmopressin,oxybutynin|mirabegron,excess_caffeine,evaluate prostate or diabetes,nice|who,moderate
bleeding from eye,urgent_ophthalmology_care|corticosteroid,prednisolone eye drops|evaluation,surgery|hospital admission,delay_in_emergency_care,evaluate trauma or infection,who|nice,severe
rectal bleeding,ppi|endoscopy|surgical_evaluation,omeprazole|colonoscopy,tranexamic acid|surgery,delay_in_emergency_care,evaluate hemorrhoids or malignancy,who|nice,severe
constipation,laxatives|fiber_supplementation|hydration,psylium|lactulose,bisacodyl|dietary modification,untreated_obstruction,increase fiber and fluids,who|nice,mild_moderate
temper problems,psychotherapy|mood_stabilizers|ssri,cognitive behavioral therapy|sertraline,valproate|lithium,alcohol|stimulant,evaluate mood disorder,dsm5|nice,moderate
coryza,antihistamine|decongestant|intranasal_corticosteroid,loratadine|oxymetazoline,fluticasone|cetirizine,long_term_decongestant_use,often viral or allergic,who|nice,mild
wrist weakness,physical_therapy|nsaid|corticosteroid,rehabilitation|ibuprofen,prednisolone|naproxen,untreated_nerve_compression,evaluate carpal tunnel,nice|who,moderate
eye strain,lubricants|rest|corrective_lenses,artificial tears|vision correction,antihistamines|evaluation,excess_screen_time,encourage visual breaks,mayo_clinic|nice,mild
hemoptysis,antibiotics|bronchoscopy|hospital_admission,amoxicillin|diagnostic bronchoscopy,azithromycin|ct scan,delay_in_emergency_care,evaluate tuberculosis or malignancy,who|nice,severe
lymphedema,compression_therapy|diuretics|physical_therapy,compression stockings|furosemide,manual lymph drainage|spironolactone,untreated_infection,evaluate lymphatic obstruction,who|nice,moderate
skin on leg or foot looks infected,antibiotics|wound_care,amoxicillin|topical mupirocin,cephalexin|clindamycin,delay_in_treatment,evaluate cellulitis,who|nice,moderate_severe
allergic reaction,antihistamine|corticosteroid|epinephrine,loratadine|prednisolone,epinephrine|diphenhydramine,allergen_exposure,anaphylaxis risk,who|nice,severe
congestion in chest,bronchodilator|expectorants|antibiotics_if_infection,salbutamol|guaifenesin,amoxicillin|prednisolone,smoking,evaluate respiratory infection,who|gold,moderate
muscle swelling,nsaid|rest|corticosteroid,ibuprofen|prednisolone,naproxen|evaluation,untreated_injury,evaluate trauma or inflammation,who|nice,moderate
pus in urine,antibiotics|hydration,nitrofurantoin|oral fluids,ciprofloxacin|trimethoprim,delay_in_treatment,evaluate urinary tract infection,who|nice,moderate
abnormal size or shape of ear,surgical_evaluation|imaging,otolaryngology referral|imaging,surgical correction|biopsy,delay_in_evaluation,evaluate congenital or tumor cause,who|nice,moderate
low back weakness,physical_therapy|nsaid|neurological_evaluation,rehabilitation|ibuprofen,prednisolone|imaging,delay_in_evaluation,evaluate spinal pathology,who|nice,moderate_severe
sleepiness,stimulant_therapy|sleep_hygiene,modafinil|behavioral therapy,caffeine|evaluation,untreated_sleep_disorder,evaluate underlying cause,who|nice,mild_moderate
apnea,cpab_therapy|weight_reduction|surgery,cpab device|lifestyle modification,surgical intervention|oxygen,untreated_sleep_apnea,evaluate obstructive cause,who|nice,severe
abnormal breathing sounds,bronchodilator|antibiotics|imaging,salbutamol|amoxicillin,prednisolone|ct scan,delay_in_evaluation,evaluate pneumonia or asthma,who|nice,severe
excessive growth,endocrine_therapy|surgical_management,hormone regulation|somatostatin analogs,surgery|radiotherapy,untreated_hormonal_disorder,evaluate endocrine cause,who|nice,moderate
elbow cramps or spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|hydration,dehydration,evaluate metabolic cause,who|nice,mild_moderate
feeling hot and cold,antipyretics|thyroid_evaluation,paracetamol|thyroid hormone replacement,antibiotics|diagnostic evaluation,untreated_infection,evaluate endocrine or infection cause,who|nice,moderate
blood clots during menstrual periods,trenexamic_acid|hormonal_therapy,trenexamic acid|combined oral contraceptives,progesterone therapy|ibuprofen,delay_in_gynecological_evaluation,evaluate bleeding disorder,who|nice,moderate
absence of menstruation,hormonal_therapy|evaluation,progesterone therapy|thyroid testing,combined oral contraceptives|fertility therapy,untreated_endocrine_disorder,evaluate pregnancy or hormonal cause,who|nice,moderate
pulling at ears,analgesics|antibiotics,paracetamol|amoxicillin,ibuprofen|ear drops,delay_in_treatment,evaluate otitis media,who|nice,mild_moderate
gum pain,analgesics|antibiotics,paracetamol|amoxicillin,ibuprofen|metronidazole,delay_in_dental_care,evaluate gingivitis,who|nice,moderate
redness in ear,antibiotics|analgesics,amoxicillin|paracetamol,ibuprofen|ear drops,delay_in_treatment,evaluate infection,who|nice,moderate
fluid retention,diuretics|salt_restriction,furosemide|spironolactone,compression therapy|evaluation,untreated_heart_failure,evaluate cardiac renal cause,who|nice,moderate_severe
flu-like syndrome,antipyretics|rest|hydration,paracetamol|oral fluids,ibuprofen|antivirals,if_indicated,symptomatic treatment,who|nice,mild_moderate
sinus congestion,antihistamine|decongestant|intranasal_corticosteroid,loratadine|oxymetazoline,fluticasone|amoxicillin,long_term_decongestant_use,often viral or allergic,who|nice,mild
painful sinuses,analgesics|antibiotics_if_bacterial,paracetamol|amoxicillin,ibuprofen|fluticasone,delay_in_treatment,evaluate sinusitis,who|nice,moderate
fears and phobias,ssri|psychotherapy,sertraline|cognitive behavioral therapy,paroxetine|buspirone,alcohol|stimulant,evaluate anxiety disorder,dsm5|nice,moderate
recent pregnancy,postnatal_care|iron_supplementation,prenatal vitamins|iron supplements,antihypertensives|insulin,if_needed,monitor postpartum health,who|nice,moderate
uterine contractions,obstetric_monitoring|tocolytics,if preterm monitoring|magnesium sulfate,nifedipine|hospital admission,delay_in_emergency_care,evaluate labor risk,who|nice,severe
burning chest pain,ppi|antacids,omeprazole|antacids,famotidine|sucralfate,smoking|nsaid,evaluate reflux or cardiac cause,who|nice,moderate_severe
back cramps or spasms,muscle_relaxants|nsaid,baclofen|ibuprofen,diazepam short term|naproxen,dehydration,evaluate musculoskeletal cause,who|nice,mild_moderate
stiffness all over,nsaid|physical_therapy|muscle_relaxants,ibuprofen|baclofen,naproxen|prednisolone,long_term_opioid_use,evaluate systemic cause,who|nice,moderate
muscle cramps contractures or spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|hydration,dehydration,evaluate metabolic cause,who|nice,moderate
low back cramps or spasms,muscle_relaxants|nsaid,baclofen|ibuprofen,diazepam short term|naproxen,poor_posture,evaluate musculoskeletal cause,who|nice,mild_moderate
back mass or lump,imaging|biopsy,ct scan|ultrasound,excision|mri,delay_in_evaluation,evaluate tumor or cyst,who|nice,severe
nosebleed,local_pressure|nasal_packing|tranexamic_acid,local pressure|tranexamic acid,nasal cautery|hospital admission,picking_nose,evaluate bleeding disorder,who|nice,moderate
long menstrual periods,hormonal_therapy|tranexamic_acid,combined oral contraceptives|tranexamic acid,progesterone therapy|ibuprofen,delay_in_gynecological_evaluation,evaluate hormonal imbalance,who|nice,moderate
heavy menstrual flow,trenexamic_acid|hormonal_therapy,trenexamic acid|combined oral contraceptives,progesterone therapy|iron supplements,evaluate_anemia_risk,who|nice guidelines,moderate,unknown
unpredictable menstruation,hormonal_therapy|evaluation,combined oral contraceptives|thyroid testing,progesterone therapy|fertility therapy,untreated_endocrine_disorder,evaluate hormonal cause,who|nice,moderate
painful menstruation,nsaid|hormonal_therapy,ibuprofen|combined oral contraceptives,naproxen|progesterone therapy,delay_in_evaluation,evaluate dysmenorrhea,who|nice,mild_moderate
infertility,fertility_therapy|hormonal_evaluation,clomiphene|ivf,progesterone therapy|surgery,untreated_endocrine_disorder,evaluate reproductive cause,who|nice,severe
frequent menstruation,hormonal_therapy|evaluation,combined oral contraceptives|thyroid testing,progesterone therapy|iron supplements,evaluate_hormonal_imbalance,who|nice guidelines,moderate,unknown
sweating,beta_blocker|anticholinergics,propranolol|glycopyrrolate,antiperspirants|botulinum toxin,untreated_endocrine_disorder,evaluate hyperhidrosis,who|nice,mild_moderate
mass on eyelid,surgical_excision|antibiotics,incision drainage|amoxicillin,cryotherapy|biopsy,delay_in_evaluation,evaluate chalazion or tumor,who|nice,moderate
swollen eye,antibiotics|corticosteroid,amoxicillin|prednisolone,ciprofloxacin|hospital admission,delay_in_treatment,evaluate orbital cellulitis,who|nice,severe
eyelid swelling,antihistamine|antibiotics,loratadine|amoxicillin,prednisolone|ciprofloxacin,allergen_exposure,evaluate infection or allergy,who|nice,moderate
eyelid lesion or rash,topical_corticosteroids|antibiotics,hydrocortisone cream|mupirocin,antifungals|biopsy,steroid_misuse,evaluate dermatitis,who|nice,mild_moderate
unwanted hair,hormonal_therapy|laser_therapy,oral contraceptives|laser removal,spironolactone|electrolysis,untreated_endocrine_disorder,evaluate polycystic ovary syndrome,who|nice,moderate
symptoms of bladder,antibiotics|anticholinergics,nitrofurantoin|oxybutynin,trimethoprim|mirabegron,delay_in_evaluation,evaluate urinary tract disorder,who|nice,moderate
irregular appearing nails,antifungals|vitamin_supplementation,terbinafine|vitamin b complex,clotrimazole|iron supplements,untreated_infection,evaluate fungal infection,who|nice,mild_moderate
itching of skin,antihistamine|topical_corticosteroids,loratadine|hydrocortisone cream,cetirizine|calamine lotion,allergen_exposure,often allergy related,who|nice,mild
hurts to breath,analgesics|bronchodilator|imaging,ibuprofen|salbutamol,ct scan|prednisolone,delay_in_emergency_care,evaluate pleurisy or pulmonary cause,who|nice,severe
nailbiting,behavioral_therapy|ssri,cognitive behavioral therapy|fluoxetine,habit reversal therapy|sertraline,stress_triggers,often anxiety related,dsm5|nice,mild
skin dryness peeling scaliness or roughness,emollients|topical_corticosteroids,petroleum jelly|hydrocortisone cream,urea cream|antihistamines,harsh_soaps,maintain skin hydration,who|nice,mild
skin on arm or hand looks infected,antibiotics|wound_care,amoxicillin|mupirocin,cephalexin|clindamycin,delay_in_treatment,evaluate cellulitis,who|nice,moderate
skin irritation,antihistamine|topical_corticosteroids,loratadine|hydrocortisone cream,cetirizine|calamine lotion,allergen_exposure,often dermatitis,who|nice,mild
itchy scalp,antifungals|medicated_shampoo|topical_corticosteroids,ketoconazole shampoo|hydrocortisone lotion,terbinafine|coal tar shampoo,harsh_hair_products,often dandruff or fungal,who|nice,mild
hip swelling,nsaid|corticosteroid|rest,ibuprofen|prednisolone,naproxen|aspiration,delay_in_evaluation,evaluate arthritis or bursitis,who|nice,moderate
incontinence of stool,antidiarrheals|pelvic_floor_therapy,loperamide|biofeedback,surgery|anticholinergics,untreated_obstruction,evaluate neurological cause,nice|who,moderate
foot or toe cramps or spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|hydration,dehydration,evaluate electrolyte imbalance,who|nice,mild_moderate
warts,cryotherapy|topical_salicylic_acid,cryotherapy|salicylic acid,imiquimod|laser therapy,picking_lesions,human papillomavirus related,who|nice,mild
bumps on penis,antifungals|antibiotics|dermatology_evaluation,clotrimazole|doxycycline,acyclovir|biopsy,unprotected_intercourse,evaluate sexually transmitted infection,who|nice,moderate
too little hair,hormonal_therapy|nutritional_support,minoxidil|iron supplements,hormone replacement|finasteride,untreated_endocrine_disorder,evaluate hormonal cause,who|nice,moderate
foot or toe lump or mass,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate cyst or tumor,who|nice,moderate_severe
skin rash,antihistamine|topical_corticosteroids,loratadine|hydrocortisone cream,cetirizine|calamine lotion,allergen_exposure,evaluate allergic or infectious cause,who|nice,mild_moderate
mass or swelling around the anus,topical_corticosteroids|surgical_evaluation,hydrocortisone cream|examination,excision|band ligation,constipation,evaluate hemorrhoids or abscess,who|nice,moderate
low back swelling,nsaid|imaging|rest,ibuprofen|ultrasound,prednisolone|mri,delay_in_evaluation,evaluate infection or tumor,who|nice,moderate_severe
ankle swelling,diuretics|compression_therapy,furosemide|compression stockings,spironolactone|evaluation,untreated_heart_failure,evaluate cardiac or injury cause,who|nice,moderate
hip lump or mass,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate cyst or tumor,who|nice,severe
drainage in throat,antihistamine|decongestant,loratadine|oxymetazoline,fluticasone|amoxicillin,long_term_decongestant_use,often postnasal drip,who|nice,mild
dry or flaky scalp,antifungals|medicated_shampoo,ketoconazole shampoo|coal tar shampoo,terbinafine|hydrocortisone lotion,harsh_products,often seborrheic dermatitis,who|nice,mild
premenstrual tension or irritability,ssri|hormonal_therapy,fluoxetine|combined oral contraceptives,sertraline|progesterone therapy,alcohol|stimulant,evaluate premenstrual syndrome,dsm5|nice,moderate
feeling hot,hormone_therapy|beta_blocker,estrogen therapy|propranolol,clonidine|evaluation,untreated_endocrine_disorder,evaluate hormonal cause,who|nice,mild_moderate
feet turned in,orthopedic_management|physical_therapy,bracing|rehabilitation,surgery|casting,delay_in_evaluation,evaluate developmental cause,who|nice,moderate
foot or toe stiffness or tightness,nsaid|physical_therapy,ibuprofen|rehabilitation,naproxen|prednisolone,long_term_opioid_use,evaluate arthritis,who|nice,moderate
pelvic pressure,analgesics|antibiotics_if_infection,paracetamol|doxycycline,ibuprofen|hormonal therapy,delay_in_evaluation,evaluate pelvic disorder,who|nice,moderate
elbow swelling,nsaid|rest|corticosteroid,ibuprofen|prednisolone,naproxen|aspiration,delay_in_evaluation,evaluate bursitis,who|nice,moderate
elbow stiffness or tightness,nsaid|physical_therapy,ibuprofen|rehabilitation,naproxen|prednisolone,long_term_opioid_use,evaluate arthritis,who|nice,moderate
early or late onset of menopause,hormone_therapy|evaluation,estrogen therapy|thyroid testing,progesterone therapy|fertility counseling,untreated_endocrine_disorder,evaluate hormonal imbalance,who|nice,moderate
mass on ear,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate tumor or cyst,who|nice,moderate_severe
bleeding from ear,antibiotics|urgent_evaluation,amoxicillin|examination,ciprofloxacin|hospital admission,delay_in_emergency_care,evaluate trauma or infection,who|nice,severe
hand or finger weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate nerve compression,who|nice,moderate
low self-esteem,psychotherapy|ssri,cognitive behavioral therapy|sertraline,fluoxetine|counseling,alcohol|stimulant,evaluate depressive disorder,dsm5|nice,moderate
throat irritation,antihistamine|ppi,loratadine|omeprazole,famotidine|fluticasone,smoking,evaluate allergy or reflux,who|nice,mild
itching of the anus,topical_corticosteroids|antifungals,hydrocortisone cream|clotrimazole,miconazole|calamine lotion,poor_hygiene,evaluate fungal or hemorrhoids,who|nice,mild_moderate
swollen or red tonsils,antibiotics|analgesics,amoxicillin|paracetamol,ibuprofen|ceftriaxone,delay_in_treatment,evaluate tonsillitis,who|nice,moderate
irregular belly button,imaging|surgical_evaluation,ultrasound|examination,surgery|biopsy,delay_in_evaluation,evaluate hernia,who|nice,moderate
swollen tongue,antihistamine|corticosteroid|epinephrine,loratadine|prednisolone,epinephrine|diphenhydramine,allergen_exposure,possible angioedema,who|nice,severe
lip sore,topical_antivirals|analgesics,acyclovir cream|paracetamol,docosanol|ibuprofen,irritants,often herpes simplex,who|nice,mild
vulvar sore,antivirals|antibiotics,acyclovir|doxycycline,clotrimazole|ceftriaxone,unprotected_intercourse,evaluate sexually transmitted infection,who|nice,moderate
hip stiffness or tightness,nsaid|physical_therapy,ibuprofen|rehabilitation,naproxen|prednisolone,long_term_opioid_use,evaluate arthritis,who|nice,moderate
mouth pain,analgesics|antiseptics,paracetamol|chlorhexidine mouthwash,ibuprofen|antifungals,smoking,evaluate infection or ulcer,who|nice,mild_moderate
arm weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate nerve or muscle disorder,who|nice,moderate_severe
leg lump or mass,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate cyst or tumor,who|nice,severe
disturbance of smell or taste,antihistamine|zinc_supplementation,loratadine|zinc supplements,fluticasone|evaluation,smoking,evaluate infection or neurological cause,who|nice,mild_moderate
discharge in stools,antibiotics|hydration,ciprofloxacin|oral fluids,metronidazole|evaluation,delay_in_treatment,evaluate infection,who|nice,moderate
penis pain,analgesics|antibiotics,paracetamol|doxycycline,ceftriaxone|naproxen,unprotected_intercourse,evaluate infection or trauma,who|nice,moderate
loss of sex drive,hormonal_therapy|psychotherapy,testosterone therapy|cognitive behavioral therapy,ssris adjustment|evaluation,alcohol|untreated_depression,evaluate endocrine or psychological cause,dsm5|nice,moderate
obsessions and compulsions,ssri|psychotherapy,fluoxetine|cognitive behavioral therapy,sertraline|clomipramine,alcohol|stimulant,evaluate obsessive compulsive disorder,dsm5|nice,severe
antisocial behavior,psychotherapy|mood_stabilizers,cognitive behavioral therapy|valproate,lithium|ssris,alcohol|stimulant,evaluate personality disorder,dsm5|nice,moderate_severe
neck cramps or spasms,muscle_relaxants|nsaid,baclofen|ibuprofen,diazepam short term|naproxen,dehydration,evaluate musculoskeletal cause,who|nice,moderate
pupils unequal,urgent_neurological_evaluation|imaging,ct scan|neurology referral,mri|hospital admission,delay_in_emergency_care,possible brain injury,aha|who,severe
poor circulation,antiplatelet|lifestyle_modification,aspirin|exercise,statins|clopidogrel,smoking,evaluate peripheral vascular disease,who|nice,moderate
thirst,oral_hydration|diabetes_evaluation,oral fluids|blood glucose testing,insulin|metformin,untreated_diabetes,evaluate endocrine cause,who|nice,mild_moderate
sleepwalking,behavioral_therapy|safety_measures,melatonin|sleep hygiene,clonazepam|evaluation,sleep_deprivation,evaluate parasomnia,who|nice,mild_moderate
skin oiliness,topical_retinoids|benzoyl_peroxide,adapalene|benzoyl peroxide,isotretinoin|antibiotics,oily_cosmetics,often acne related,who|nice,mild
sneezing,antihistamine|intranasal_corticosteroid,loratadine|fluticasone,cetirizine|oxymetazoline,allergen_exposure,often allergic rhinitis,who|nice,mild
bladder mass,imaging|biopsy,ct scan|cystoscopy,surgical excision|oncology referral,delay_in_evaluation,evaluate malignancy,who|nice,severe
knee cramps or spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|hydration,dehydration,evaluate metabolic cause,who|nice,moderate
premature ejaculation,ssri|behavioral_therapy,dapoxetine|cognitive behavioral therapy,paroxetine|topical anesthetic,alcohol|stress,evaluate psychological factors,who|nice,moderate
leg weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate nerve disorder,who|nice,moderate_severe
posture problems,physical_therapy|exercise_therapy,rehabilitation|core strengthening,bracing|evaluation,sedentary_lifestyle,evaluate musculoskeletal imbalance,who|nice,mild_moderate
bleeding in mouth,local_pressure|antiseptics,pressure application|chlorhexidine mouthwash,vitamin k|dental care,untreated_bleeding_disorder,evaluate oral lesion,who|nice,moderate
