id,text,drug_raw,drug_normalized,food_raw,food_category,symptom,event_sequence,temporal_relation,interaction_category,severity,is_interaction_present,confidence_label,notes
N118,I took my antidiabetic tablet without eating and felt weak,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N119,I took antibiotics and later felt nauseous,antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N120,"After taking antibiotics, I experienced nausea",antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N121,I took iron tablets with my meal,iron,iron,food,general_food,none,took_drug|ate_food,drug_with_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N122,I ate food immediately after taking iron supplements,iron,iron,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N123,I took vitamins together with my meal,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N124,I had my vitamins while eating lunch,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N125,I drank coffee after taking anxiety medication,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N126,I take my anxiety medicine with coffee,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_with_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N127,"I took a sedative, drank alcohol, and felt very sleepy",sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N128,"After alcohol and sleeping pills, I became extremely drowsy",sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N129,I ate sugary foods while on diabetes medication,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,ate_food,food_only,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N130,I had sweets after taking my diabetes medicine,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N131,I ate salty food while taking hypertension medication,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N132,I consumed high-salt meals during hypertension treatment,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N133,I ate grapefruit while taking statins,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,ate_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N134,I drank grapefruit juice during statin therapy,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,drank_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N135,I drank alcohol while taking antidepressants,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_with_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N136,I take alcohol with my antidepressant medication,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_with_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N137,I smoke regularly while having asthma,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N138,I continued smoking during asthma treatment,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N139,I took antibiotics with milk and felt nauseous,antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,0,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N140,"After taking antibiotics and milk, I felt uncomfortable",antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,0,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N141,I drink alcohol while taking medicine,unknown,unknown,alcohol,alcohol,none,habit,habit,possible_interaction,1,TRUE,medium,source_rule=R031; rule_category=general; clinical_strength=moderate; confidence_base=0.7
N142,I ate a high-fat meal with my medication,unknown,unknown,high_fat,high_fat,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R032; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N143,I ate high-fiber food with my tablets,unknown,unknown,high_fiber,high_fiber,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R033; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N144,I forgot to take my medicine yesterday,unknown,unknown,none,none_reported,none,missed_dose,missed_dose,missed_dose,1,TRUE,high,source_rule=R034; rule_category=general; clinical_strength=strong; confidence_base=0.95
N145,I accidentally took two doses of my medicine,unknown,unknown,none,none_reported,none,double_dose,double_dose,overdose,2,TRUE,high,source_rule=R035; rule_category=general; clinical_strength=strong; confidence_base=0.95
N146,I took NSAIDs without food and felt stomach pain,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N147,"I skipped meals and took diabetes medicine, then felt dizzy",antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N148,I drank alcohol with sedatives and felt very sleepy,sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N149,I ate leafy vegetables during warfarin therapy,warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N150,I ate breakfast right after taking my thyroid medicine,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N151,I took amoxicillin and drank milk shortly after,amoxicillin,amoxicillin,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N152,"After taking antibiotics, I drank milk tea",antibiotic,antibiotic,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N153,I took antibiotics and ate yogurt later,antibiotic,antibiotic,yogurt,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N154,I had curd after my antibiotic dose,antibiotic,antibiotic,curd,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N155,I took levothyroxine and later ate iron-rich lentils,levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N156,"After thyroid medicine, I had iron-rich food",levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N157,I took levothyroxine and ate breakfast immediately,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N158,I had food right after my thyroid tablet,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N159,I ate green leafy vegetables while on warfarin,warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N160,"During warfarin therapy, I ate spinach regularly",warfarin,warfarin,spinach,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N161,I took a sedative and then drank alcohol,sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N162,"After sleeping pills, I had beer",sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N163,I took metformin and ate sweets afterward,metformin,metformin,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N164,"After my diabetes medicine, I had sugary food",antidiabetic,antidiabetic,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N165,"I skipped meals and took an NSAID, then had stomach pain",NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N166,I took diclofenac without eating and felt stomach discomfort,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N167,"I skipped meals, took my diabetes medicine, and felt dizzy",antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N168,I took antidiabetic medicine without food and felt weak,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N169,I took antibiotics and felt nauseous afterward,antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N170,"After taking antibiotics, I started feeling nausea",antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N171,I took iron tablets and ate food immediately,iron,iron,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N172,I had food right after taking iron supplements,iron,iron,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N173,I took vitamins with my meal,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N174,I had vitamin tablets while eating lunch,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N175,I drank coffee after taking anxiety medication,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N176,I take coffee together with anxiety medicine,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_with_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N177,I took sedatives and drank alcohol and felt sleepy,sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N178,"After alcohol and sleeping pills, I felt very drowsy",sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N179,I ate sugary foods while on diabetes medication,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,ate_food,food_only,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N180,I had sweets after diabetes medicine,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N181,I ate salty food while taking hypertension medicine,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N182,I consume high salt meals regularly with hypertension treatment,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N183,I ate grapefruit while taking statins,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,ate_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N184,I drank grapefruit juice during statin treatment,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,drank_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N185,I drank alcohol while taking antidepressants,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_with_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N186,I take alcohol with antidepressant medication,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_with_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N187,I smoke regularly while having asthma,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N188,I continued smoking during asthma treatment,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
N189,I took antibiotics with milk and felt nauseous,antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,0,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N190,"After milk and antibiotics, I felt discomfort",antibiotic,antibiotic,milk,dairy_or_calcium,nausea,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,0,TRUE,medium,source_rule=R026; rule_category=symptom_based; clinical_strength=moderate; confidence_base=0.75
N191,I took painkillers without food and felt stomach pain,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R027; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.9
N192,I skipped meals and took diabetes medicine then felt dizzy,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R028; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.88
N193,I drank alcohol with sedatives and felt sleepy,sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R029; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.92
N194,I ate leafy greens during warfarin therapy,warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R030; rule_category=symptom_based; clinical_strength=strong; confidence_base=0.85
N195,I drink alcohol while taking medication,unknown,unknown,alcohol,alcohol,none,habit,habit,possible_interaction,1,TRUE,medium,source_rule=R031; rule_category=general; clinical_strength=moderate; confidence_base=0.7
N196,I ate a high-fat meal with my medicine,unknown,unknown,high_fat,high_fat,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R032; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N197,I had high-fiber food with my tablets,unknown,unknown,high_fiber,high_fiber,none,ate_food,food_only,absorption_effect,0,TRUE,medium,source_rule=R033; rule_category=general; clinical_strength=heuristic; confidence_base=0.65
N198,I forgot to take my medicine,unknown,unknown,none,none_reported,none,missed_dose,missed_dose,missed_dose,1,TRUE,high,source_rule=R034; rule_category=general; clinical_strength=strong; confidence_base=0.95
N199,I accidentally took an extra dose of medicine,unknown,unknown,none,none_reported,none,double_dose,double_dose,overdose,2,TRUE,high,source_rule=R035; rule_category=general; clinical_strength=strong; confidence_base=0.95
N200,I ate breakfast right after taking levothyroxine,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N201,I had my amoxicillin tablet and later drank milk tea,amoxicillin,amoxicillin,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N202,"After using my antibiotic, I drank milk in the evening",antibiotic,antibiotic,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N203,I ate yogurt a while after taking my antibiotic,antibiotic,antibiotic,yogurt,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N204,I consumed curd sometime after my antibiotic dose,antibiotic,antibiotic,curd,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N205,I took levothyroxine early morning and later ate iron-rich food,levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N206,"After my thyroid medication, I had beans containing iron",levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N207,I ate breakfast right after taking levothyroxine tablet,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N208,"Immediately after my thyroid medicine, I ate some food",levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N209,I included spinach in my meals while on warfarin,warfarin,warfarin,spinach,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N210,"While taking warfarin, I often ate leafy vegetables",warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N211,I drank alcohol after taking a sedative tablet,sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N212,I had wine later after my sleeping medication,sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,low,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N213,I ate sugary food after taking metformin,metformin,metformin,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N214,"After my diabetes medicine, I consumed high-carb snacks",antidiabetic,antidiabetic,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N215,I took NSAIDs on an empty stomach and later had stomach pain,NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N216,"Without eating, I took diclofenac and felt discomfort in my stomach",NSAID,nsaid,none,none_reported,stomach pain,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R011; rule_category=timing; clinical_strength=strong; confidence_base=0.9
N217,I took my diabetes medicine without food and later felt dizzy,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N218,Skipping meals and taking my tablet made me feel weak,antidiabetic,antidiabetic,none,none_reported,dizziness,skipped_meal|took_drug|felt_symptom,meal_before_drug_then_symptom,side_effect,1,TRUE,high,source_rule=R012; rule_category=timing; clinical_strength=strong; confidence_base=0.88
N219,"After using antibiotics, I experienced nausea",antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N220,I started feeling nauseous after my antibiotic dose,antibiotic,antibiotic,none,none_reported,nausea,took_drug|felt_symptom,drug_then_symptom,side_effect,0,TRUE,medium,source_rule=R013; rule_category=timing; clinical_strength=moderate; confidence_base=0.7
N221,I took iron tablets and then ate food,iron,iron,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N222,I ate a meal immediately after taking iron supplements,iron,iron,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R014; rule_category=timing; clinical_strength=strong; confidence_base=0.85
N223,I took vitamins during my meal,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N224,I consumed vitamin tablets while eating,vitamin,vitamin,food,general_food,none,took_drug|ate_food,drug_with_food,better_with_food,0,TRUE,medium,source_rule=R015; rule_category=timing; clinical_strength=strong; confidence_base=0.75
N225,I had coffee soon after taking anxiety medication,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N226,I drink coffee alongside my anxiety medicine,anxiety,anxiety,coffee,caffeine,none,took_drug|drank_food,drug_with_food,possible_interaction,1,TRUE,medium,source_rule=R019; rule_category=lifestyle; clinical_strength=moderate; confidence_base=0.75
N227,I combined alcohol with sedatives and felt sleepy,sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N228,"After drinking alcohol with sleeping pills, I felt very drowsy",sedative,sedative,alcohol,alcohol,drowsiness,took_drug|drank_food|felt_symptom,drug_before_food_then_symptom,possible_interaction,2,TRUE,low,source_rule=R020; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.92
N229,I consumed sugary snacks while on diabetes treatment,diabetes,diabetes,sugar,high_sugar_or_high_carb,none,ate_food,food_only,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N230,"After taking diabetes medication, I ate sweets",diabetes,diabetes,sugar,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R021; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.8
N231,I regularly eat salty foods during hypertension treatment,hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N232,"While taking hypertension medicine, I consumed salt-rich meals",hypertension,hypertension,salt,high_sodium,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R022; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N233,I drank grapefruit juice while using statins,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,drank_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N234,I included grapefruit in my meals during statin therapy,statin,statin,grapefruit,grapefruit_or_citrus_interaction,none,ate_food,food_only,possible_interaction,2,TRUE,high,source_rule=R023; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N235,I drank alcohol after taking antidepressants,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N236,I used antidepressant medication and later had alcohol,antidepressant,antidepressant,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,high,source_rule=R024; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.9
N237,I smoke even while receiving asthma treatment,asthma,asthma,smoking,smoking_lifestyle,none,habit,habit,possible_interaction,2,TRUE,high,source_rule=R025; rule_category=lifestyle; clinical_strength=strong; confidence_base=0.95
