disease,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
plantar fasciitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hyperopia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
poisoning due to sedatives,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pemphigus,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
peyronie disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hiatal hernia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
extrapyramidal effect of drugs,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
meniere disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
anal fissure,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
allergy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic otitis media,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the finger,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hirschsprung disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
polymyalgia rheumatica,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lymphedema,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
bladder cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acute bronchospasm,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acute glaucoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the chest,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the patella,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sciatica,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypercalcemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
stress incontinence,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
varicose veins,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
benign kidney cyst,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hydrocele of the testicle,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
degenerative disc disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hirsutism,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the foot,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hydronephrosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
diverticulosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pain after an operation,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
huntington disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lymphoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dermatitis due to sun exposure,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
anemia due to chronic kidney disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
injury to internal organ,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
scleritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pterygium,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fungal infection of the skin,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
insulin overdose,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
syndrome of inappropriate secretion of adh (siadh),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
foreign body in the ear,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
premenstrual tension syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
orbital cellulitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
injury to the leg,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hepatic encephalopathy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
bone cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
syringomyelia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pulmonary fibrosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
mitral valve disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
parkinson disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gout,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
otitis media,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug abuse (opioids),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
myelodysplastic syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the shoulder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acute kidney injury,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
threatened pregnancy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
intracranial abscess,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gum disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound from surgical incision,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gastrointestinal hemorrhage,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
seborrheic dermatitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug abuse (methamphetamine),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
torticollis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
poisoning due to antihypertensives,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tension headache,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
alcohol intoxication,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
scurvy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
narcolepsy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
food allergy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
labyrinthitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
anxiety,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
impulse control disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
stenosis of the tear duct,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
abscess of nose,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
omphalitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
leukemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
bell palsy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
conjunctivitis due to allergy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug reaction,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
adrenal cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
myopia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
osteoarthritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
thyroid disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pharyngitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic rheumatic fever,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypocalcemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
macular degeneration,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pneumonia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cold sore,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
premature ventricular contractions (pvcs),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
testicular cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hydrocephalus,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
breast cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
anemia due to malignancy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
esophageal varices,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
endometrial cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cystic fibrosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
intertrigo (skin condition),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
parathyroid adenoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
glucocorticoid deficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
temporomandibular joint disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
wilson disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vesicoureteral reflux,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vitamin a deficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gonorrhea,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the rib,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ependymoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hepatitis due to a toxin,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vaginal cyst,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the shoulder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ectopic pregnancy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic knee pain,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pinguecula,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypergammaglobulinemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
alcohol abuse,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
carpal tunnel syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pituitary disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
kidney stone,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
autism,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cat scratch disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic glaucoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
retinal detachment,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
aplastic anemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
overflow incontinence,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hemolytic anemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lateral epicondylitis (tennis elbow),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the eye,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
syphilis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
diabetic kidney disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
nose disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug withdrawal,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dental caries,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypercholesterolemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the patella,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
kidney failure,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the neck,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
muscle spasm,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hemophilia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hyperosmotic hyperketotic state,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
peritonsillar abscess,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gastroparesis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
itching of unknown cause,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
polycythemia vera,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
thrombocytopenia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
head and neck cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pseudohypoparathyroidism,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
goiter,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
urge incontinence,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
edward syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the arm,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
muscular dystrophy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
mittelschmerz,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
corneal abrasion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
anemia of chronic disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dysthymic disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
scarlet fever,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypertensive heart disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug abuse (barbiturates),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
polycystic ovarian syndrome (pcos),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
encephalitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cyst of the eyelid,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
balanitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
foreign body in the throat,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug abuse (cocaine),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
optic neuritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
alcohol withdrawal,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
premature atrial contractions (pacs),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hemiplegia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hammer toe,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the cheek,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
joint effusion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the knee,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
meningioma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
brain cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
placental abruption,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
